Vardas              Pavarde             Vid.                Med.                
Abramas             Baranauskas         6.4                 6.4                 
Abramas             Urbonas             8.2                 8.2                 
Abramas             Pocius              5.2                 5.2                 
Abramas             Kavaliauskas        8.2                 8.2                 
Abramas             Stankevicius        8.4                 8.4                 
Abramas             Urbonas             7                   7                   
Abramas             Vasiliauskas        7                   7                   
Abramas             Kateiva             7                   7                   
Abraomas            Baranauskas         5.8                 5.8                 
Abraomas            zukauskas           6.4                 6.4                 
Abraomas            Pocius              7.2                 7.2                 
Abraomas            Stankevicius        5.4                 5.4                 
Abraomas            Kazlaukas           7.2                 7.2                 
Achilas             Urbonas             7.2                 7.2                 
Achilas             Paulauskas          7.2                 7.2                 
Achilas             Kateiva             5                   5                   
Achilas             Urbonas             8.4                 8.4                 
Achilas             Kateiva             9                   9                   
Achilas             Butkus              6                   6                   
Achilas             Urbonas             6.4                 6.4                 
Achilas             Paulauskas          6.4                 6.4                 
Achilas             Stankevicius        5.2                 5.2                 
Achilas             Jankauskas          6.6                 6.6                 
Achilas             Sakalauskas         9                   9                   
Achilas             Butkus              7.4                 7.4                 
Adalbertas          Paulauskas          8.2                 8.2                 
Adalbertas          Baranauskas         6.8                 6.8                 
Adalbertas          Baranauskas         9                   9                   
Adalbertas          zukauskas           6.4                 6.4                 
Adalbertas          Jankauskas          6.6                 6.6                 
Adalbertas          Vasiliauskas        6.8                 6.8                 
Adamas              Petrauskas          5.6                 5.6                 
Adamas              Paulauskas          6                   6                   
Adamas              Vasiliauskas        7.6                 7.6                 
Adamas              Sakalauskas         6.4                 6.4                 
Adamas              Jankauskas          9.2                 9.2                 
Adamas              Kavaliauskas        6.4                 6.4                 
Adamas              Paulauskas          6                   6                   
Adamas              Petrauskas          5.8                 5.8                 
Adamas              Petrauskas          8.4                 8.4                 
Adas                Kavaliauskas        5.2                 5.2                 
Adas                Pocius              8                   8                   
Adas                Stankevicius        7.4                 7.4                 
Adas                Jankauskas          6                   6                   
Adas                Kazlaukas           5                   5                   
Adas                Butkus              7.2                 7.2                 
Adas                Kateiva             5.8                 5.8                 
Adolfas             Sakalauskas         6.4                 6.4                 
Adolfas             Vasiliauskas        5.6                 5.6                 
Adolis              Sakalauskas         8.2                 8.2                 
Adolis              Butkus              8.8                 8.8                 
Adolis              Kazlaukas           7.2                 7.2                 
Adolis              Paulauskas          5.8                 5.8                 
Adolis              zukauskas           6.8                 6.8                 
Adolis              Sakalauskas         5.2                 5.2                 
Adomas              Stankevicius        7                   7                   
Adomas              Vasiliauskas        7.8                 7.8                 
Adomas              Sakalauskas         7.8                 7.8                 
Adomas              Vasiliauskas        6.4                 6.4                 
Adomas              Paulauskas          8.2                 8.2                 
Adomas              Pocius              6.8                 6.8                 
Adomas              zukauskas           7.2                 7.2                 
Adomas              zukauskas           5.8                 5.8                 
Adrijus             Paulauskas          6.4                 6.4                 
Adrijus             Jankauskas          8.2                 8.2                 
Adrijus             Urbonas             6.4                 6.4                 
Adrijus             Jankauskas          7.2                 7.2                 
Adrijus             Pocius              5.2                 5.2                 
Adrijus             Stankevicius        7                   7                   
Adrijus             Pocius              8.4                 8.4                 
Adrijus             Pocius              7                   7                   
Agatas              zukauskas           9.4                 9.4                 
Agatas              zukauskas           8.6                 8.6                 
Agatas              Stankevicius        7.2                 7.2                 
Agatas              Petrauskas          5.4                 5.4                 
Agatas              Pocius              5.6                 5.6                 
Agatas              Stankevicius        5                   5                   
Agatas              Paulauskas          5.4                 5.4                 
Agatas              zukauskas           5.2                 5.2                 
Agatas              Vasiliauskas        5.6                 5.6                 
Agatas              zukauskas           5                   5                   
Agatas              Paulauskas          8.8                 8.8                 
Agatas              Baranauskas         5.2                 5.2                 
Agatas              Urbonas             5.8                 5.8                 
Agatas              Sakalauskas         7.4                 7.4                 
Agnius              Baranauskas         7.6                 7.6                 
Agnius              Kavaliauskas        5.8                 5.8                 
Agnius              Petrauskas          8.4                 8.4                 
Aidas               Baranauskas         5.2                 5.2                 
Aidas               Kavaliauskas        6.2                 6.2                 
Ainius              Kazlaukas           8.2                 8.2                 
Ainius              Pocius              6.2                 6.2                 
Ainius              Urbonas             5.2                 5.2                 
Ainius              zukauskas           5.6                 5.6                 
