Vardas              Pavarde             ND1    Egz    
Jogintas            Kazlaukas           1      1      
Benediktas          Kazlaukas           3      5      
Celestinas          Baranauskas         9      4      
Virmantas           Sakalauskas         7      9      
Dionizas            Pocius              2      5      
Arijus              Stankevicius        8      8      
Ksaveras            Kazlaukas           5      5      
Liucijonas          Kazlaukas           5      4      
Hektoras            Urbonas             8      1      
Rolandas            Vasiliauskas        2      8      
Norbertas           Kazlaukas           1      1      
Jemeljanas          Kavaliauskas        2      3      
Teisutis            zukauskas           10     6      
Vilnius             Kazlaukas           5      8      
Geraldas            Jankauskas          9      5      
Rolfas              zukauskas           2      9      
Orestas             Petrauskas          8      2      
Erichas             Sakalauskas         5      1      
Edvardas            Kavaliauskas        6      3      
Liucijonas          Butkus              10     4      
Leonidas            Vasiliauskas        7      3      
Minijus             Petrauskas          8      4      
Stasius             Kazlaukas           8      1      
Ramintas            Paulauskas          6      4      
Alfas               zukauskas           1      8      
Liudvigas           Petrauskas          10     1      
Simeonas            Baranauskas         10     6      
Baltrus             zukauskas           7      2      
Radvila             Sakalauskas         10     2      
Germanas            Kazlaukas           2      5      
Bernardas           Stankevicius        2      4      
Vaidutis            Kazlaukas           8      5      
Liudas              Paulauskas          3      3      
Marekas             zukauskas           8      2      
Aras                Sakalauskas         5      9      
Vitoldas            Kateiva             4      1      
Vykantas            Urbonas             5      10     
Jeronimas           Urbonas             2      3      
Nauris              Jankauskas          7      5      
Rimas               Baranauskas         6      6      
Serapinas           Kavaliauskas        3      2      
Putinas             Paulauskas          8      2      
Skirgaila           Stankevicius        3      2      
Alenas              Paulauskas          8      1      
Dovilis             Butkus              9      1      
Regimantas          Kazlaukas           7      2      
Eugeniusas          Stankevicius        2      7      
Viltautas           Kateiva             6      5      
Rytautas            Baranauskas         4      1      
Gustas              Urbonas             1      8      
Girius              zukauskas           3      4      
Telesforas          Paulauskas          6      7      
Akimas              Baranauskas         9      6      
Kristinas           Paulauskas          7      1      
Narcizas            Kazlaukas           6      5      
Tautginas           zukauskas           1      6      
Liubartas           Paulauskas          6      4      
Benonas             Petrauskas          8      5      
Markas              Pocius              10     5      
Patricijus          Kavaliauskas        4      3      
Vladas              Jankauskas          6      6      
Eidimantas          Butkus              3      7      
Jaroslavas          Pocius              8      9      
Viltenis            Pocius              3      8      
Simeonas            Stankevicius        5      3      
Erazmas             Butkus              2      3      
Samuelis            Sakalauskas         8      3      
Virgis              Baranauskas         2      1      
Henris              Vasiliauskas        5      1      
Rikardas            Butkus              7      8      
Kestautas           Jankauskas          10     3      
Jeronimas           Pocius              10     1      
Laisvunas           Stankevicius        1      1      
Vadimas             Sakalauskas         10     4      
Izoldas             Kateiva             5      6      
Dzonis              Petrauskas          6      4      
Hilarijus           Pocius              4      10     
Arnas               Paulauskas          7      3      
Steponas            Baranauskas         7      10     
Vaitiekus           Urbonas             6      4      
