Vardas              Pavarde             Vid.                Med.                
Abramas             Kazlaukas           4.6                 4.6                 
Abramas             Baranauskas         2.8                 2.8                 
Abraomas            Urbonas             3.4                 3.4                 
Abraomas            Pocius              3.4                 3.4                 
Abraomas            zukauskas           4.2                 4.2                 
Abraomas            Kavaliauskas        4.2                 4.2                 
Abraomas            Pocius              4.6                 4.6                 
Abraomas            Urbonas             3.2                 3.2                 
Achilas             Kavaliauskas        4.4                 4.4                 
Achilas             Jankauskas          2.4                 2.4                 
Achilas             Kateiva             3.8                 3.8                 
Achilas             Vasiliauskas        3.8                 3.8                 
Achilas             Stankevicius        3.8                 3.8                 
Achilas             Kazlaukas           1.4                 1.4                 
Achilas             Petrauskas          4.4                 4.4                 
Adalbertas          Kazlaukas           1                   1                   
Adalbertas          Urbonas             4.8                 4.8                 
Adamas              Kavaliauskas        1                   1                   
Adamas              Jankauskas          4.8                 4.8                 
Adamas              Butkus              3.2                 3.2                 
Adamas              Kazlaukas           3.6                 3.6                 
Adas                Pocius              4.2                 4.2                 
Adas                Baranauskas         1                   1                   
Adas                Kateiva             4.2                 4.2                 
Adolfas             Kazlaukas           2                   2                   
Adolfas             Kavaliauskas        4.6                 4.6                 
Adolfas             Kazlaukas           4                   4                   
Adolfas             Butkus              4.2                 4.2                 
Adolfas             Kazlaukas           3.4                 3.4                 
Adolis              Paulauskas          4.4                 4.4                 
Adolis              Jankauskas          4.6                 4.6                 
Adolis              Kateiva             3                   3                   
Adomas              Pocius              3.2                 3.2                 
Adomas              Stankevicius        4.4                 4.4                 
Adomas              Kavaliauskas        3                   3                   
Adrijus             Kateiva             4.8                 4.8                 
Adrijus             Baranauskas         1.6                 1.6                 
Adrijus             Kazlaukas           4.8                 4.8                 
Adrijus             Petrauskas          3                   3                   
Adrijus             Pocius              3.2                 3.2                 
Adrijus             Petrauskas          4.6                 4.6                 
Agatas              Baranauskas         4.8                 4.8                 
Agatas              Pocius              3.6                 3.6                 
Agatas              Kateiva             4.4                 4.4                 
Agatas              Jankauskas          1                   1                   
Agatas              Urbonas             1.4                 1.4                 
